Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,YFI/USD,Sell,1000000.0,1000000.0,6317.8,6317.8,0.0
2022-11-17 03:00:00,YFI/USD,Sell,1000000.0,1000000.0,6362.04,6317.8,0.0
2022-11-17 05:00:00,YFI/USD,Buy,1000000.0,1000000.0,6184.5,6184.5,0.0
2022-11-17 06:00:00,YFI/USD,Buy,1000000.0,1000000.0,6206.71,6184.5,0.0
2022-11-17 07:00:00,YFI/USD,Sell,1000000.0,1008096.0465680329,6234.57,6184.5,0.008096046568032936
2022-11-17 08:00:00,YFI/USD,Sell,1008096.0465680329,1008096.0465680329,6256.17,6184.5,0.0
2022-11-17 11:00:00,YFI/USD,Buy,1008096.0465680329,1008096.0465680329,6135.93,6135.93,0.0
2022-11-17 12:00:00,YFI/USD,Sell,1008096.0465680329,1016200.6660759479,6185.26,6135.93,0.008039531089826607
2022-11-17 16:00:00,YFI/USD,Buy,1016200.6660759479,1016200.6660759479,6106.33,6106.33,0.0
2022-11-17 17:00:00,YFI/USD,Sell,1016200.6660759479,1021015.1266880631,6135.26,6106.33,0.004737706609370986
2022-11-17 18:00:00,YFI/USD,Sell,1021015.1266880631,1021015.1266880631,6125.7,6106.33,0.0
2022-11-17 19:00:00,YFI/USD,Buy,1021015.1266880631,1021015.1266880631,6097.0,6097.0,0.0
2022-11-17 21:00:00,YFI/USD,Buy,1021015.1266880631,1021015.1266880631,6068.03,6097.0,0.0
2022-11-17 22:00:00,YFI/USD,Buy,1021015.1266880631,1021015.1266880631,6046.12,6097.0,0.0
2022-11-17 23:00:00,YFI/USD,Buy,1021015.1266880631,1021015.1266880631,6003.47,6097.0,0.0
2022-11-18 01:00:00,YFI/USD,Sell,1021015.1266880631,1015488.8844081376,6064.0,6097.0,-0.0054124979498113325
2022-11-18 02:00:00,YFI/USD,Sell,1015488.8844081376,1015488.8844081376,6174.17,6097.0,0.0
2022-11-18 03:00:00,YFI/USD,Sell,1015488.8844081376,1015488.8844081376,6166.01,6097.0,0.0
2022-11-18 04:00:00,YFI/USD,Sell,1015488.8844081376,1015488.8844081376,6132.93,6097.0,0.0
2022-11-18 06:00:00,YFI/USD,Sell,1015488.8844081376,1015488.8844081376,6135.33,6097.0,0.0
2022-11-18 09:00:00,YFI/USD,Buy,1015488.8844081376,1015488.8844081376,6128.53,6128.53,0.0
2022-11-18 11:00:00,YFI/USD,Sell,1015488.8844081376,1024017.3917142106,6180.0,6128.53,0.008398425070938801
2022-11-18 12:00:00,YFI/USD,Sell,1024017.3917142106,1024017.3917142106,6216.16,6128.53,0.0
2022-11-18 13:00:00,YFI/USD,Buy,1024017.3917142106,1024017.3917142106,6166.04,6166.04,0.0
2022-11-18 15:00:00,YFI/USD,Buy,1024017.3917142106,1024017.3917142106,6100.0,6166.04,0.0
2022-11-18 16:00:00,YFI/USD,Buy,1024017.3917142106,1024017.3917142106,6022.53,6166.04,0.0
2022-11-18 17:00:00,YFI/USD,Buy,1024017.3917142106,1024017.3917142106,5994.32,6166.04,0.0
2022-11-18 18:00:00,YFI/USD,Buy,1024017.3917142106,1024017.3917142106,5968.96,6166.04,0.0
2022-11-18 19:00:00,YFI/USD,Buy,1024017.3917142106,1024017.3917142106,5901.8,6166.04,0.0
2022-11-18 20:00:00,YFI/USD,Buy,1024017.3917142106,1024017.3917142106,6003.3,6166.04,0.0
