Date,symbol,number_of_coins,last_action,old_amount,new_amount,current_price,buy_price,change_percent,amount_based_on_coins,number_of_successful_orders,trade_symbol_value
2022-12-16 00:00:00,BTC/USD,0.0,,200.0,200.0,17426.42,0.0,0.0,0.0,1,1.0
2022-12-16 01:00:00,BTC/USD,0.0,,200.0,200.0,17390.48,0.0,0.0,0.0,2,1.0001
2022-12-16 02:00:00,BTC/USD,0.0,,200.0,200.0,17404.59,0.0,0.0,0.0,3,1.0001
2022-12-16 03:00:00,BTC/USD,0.0,,200.0,200.0,17423.45,0.0,0.0,0.0,4,1.0001
2022-12-16 04:00:00,BTC/USD,0.0,,200.0,200.0,17395.08,0.0,0.0,0.0,5,1.0001
2022-12-16 05:00:00,BTC/USD,0.0,,200.0,200.0,17408.5,0.0,0.0,0.0,6,1.0001
2022-12-16 06:00:00,BTC/USD,0.0,,200.0,200.0,17421.35,0.0,0.0,0.0,7,1.0001
2022-12-16 07:00:00,BTC/USD,0.0,,200.0,200.0,17506.95,0.0,0.0,0.0,8,1.0
2022-12-16 08:00:00,BTC/USD,0.011613,Buy,200.0,200.0,17220.94,17220.94,0.0,199.98677622,9,1.0
2022-12-16 09:00:00,BTC/USD,0.011613,Buy,200.0,197.85461438000002,17036.2,17220.94,-0.010726928099999923,197.8413906,10,1.0001
2022-12-16 10:00:00,BTC/USD,0.011613,Buy,197.85461438000002,197.39775896,16996.86,17220.94,-0.002309046071185245,197.38453518,11,1.0
2022-12-16 11:00:00,BTC/USD,0.011613,Buy,197.39775896,197.73047140999998,17025.51,17220.94,0.0016854925392916632,197.71724762999997,12,1.0001
2022-12-16 12:00:00,BTC/USD,0.011613,Buy,197.73047140999998,197.80653656,17032.06,17220.94,0.0003846910871026561,197.79331278,13,1.0
2022-12-16 13:00:00,BTC/USD,0.011613,Buy,197.80653656,196.88051594,16952.32,17220.94,-0.004681446003272576,196.86729216,14,1.0
2022-12-16 14:00:00,BTC/USD,0.011613,Buy,196.88051594,197.82476897,17033.63,17220.94,0.004796071492863026,197.81154519,14,1.0
2022-12-16 15:00:00,BTC/USD,0.011613,Buy,197.82476897,197.14157618,16974.8,17220.94,-0.0034535250239752673,197.12835239999998,15,1.0
2022-12-16 16:00:00,BTC/USD,0.011613,Buy,197.14157618,195.19930193,16807.55,17220.94,-0.00985217977676411,195.18607815,16,1.0
2022-12-16 17:00:00,BTC/USD,0.011613,Buy,195.19930193,195.06958472000002,16796.38,17220.94,-0.0006645372637986414,195.05636094000002,17,1.0001
2022-12-16 18:00:00,BTC/USD,0.011613,Buy,195.06958472000002,195.18339212,16806.18,17220.94,0.0005834195021399268,195.17016834,18,1.0001
2022-12-16 19:00:00,BTC/USD,0.011613,Buy,195.18339212,195.87169463,16865.45,17220.94,0.0035264399420665204,195.85847085,19,1.0
2022-12-16 20:00:00,BTC/USD,0.0,Sell,195.87169463,196.14412378,16888.92,17220.94,0.0013908551233735428,0.0,20,1.0
2022-12-16 21:00:00,BTC/USD,0.0,Sell,196.14412378,196.14412378,16833.01,17220.94,0.0,0.0,21,1.0
2022-12-16 22:00:00,BTC/USD,0.011727,Buy,196.14412378,196.14412378,16725.15,16725.15,0.0,196.13583405,22,1.0
2022-12-16 23:00:00,BTC/USD,0.011727,Buy,196.14412378,195.02677522,16629.87,16725.15,-0.005696569127165164,195.01848549,23,1.0001
2022-12-17 00:00:00,BTC/USD,0.011727,Buy,195.02677522,195.92518069,16706.48,16725.15,0.004606575015079615,195.91689096,24,1.0001
2022-12-17 01:00:00,BTC/USD,0.011727,Buy,195.92518069,195.49116442000002,16669.47,16725.15,-0.0022152143408594774,195.48287469000002,25,1.0001
2022-12-17 02:00:00,BTC/USD,0.011727,Buy,195.49116442000002,195.36228469,16658.48,16725.15,-0.0006592611506632234,195.35399496,26,1.0001
2022-12-17 03:00:00,BTC/USD,0.0,Sell,195.36228469,195.62798973,16681.14,16725.15,0.0013600631279554283,0.0,27,1.0
2022-12-17 04:00:00,BTC/USD,0.0,Sell,195.62798973,195.62798973,16713.14,16725.15,0.0,0.0,28,1.0
2022-12-17 05:00:00,BTC/USD,0.0,Sell,195.62798973,195.62798973,16696.32,16725.15,0.0,0.0,29,1.0
2022-12-17 06:00:00,BTC/USD,0.0,Sell,195.62798973,195.62798973,16717.11,16725.15,0.0,0.0,30,1.0
2022-12-17 07:00:00,BTC/USD,0.0,Sell,195.62798973,195.62798973,16748.95,16725.15,0.0,0.0,31,1.0
2022-12-17 08:00:00,BTC/USD,0.0,Sell,195.62798973,195.62798973,16721.68,16725.15,0.0,0.0,32,1.0
2022-12-17 09:00:00,BTC/USD,0.0,Sell,195.62798973,195.62798973,16698.89,16725.15,0.0,0.0,33,1.0
2022-12-17 10:00:00,BTC/USD,0.0,Sell,195.62798973,195.62798973,16736.96,16725.15,0.0,0.0,34,1.0
2022-12-17 11:00:00,BTC/USD,0.011707,Buy,195.62798973,195.62798973,16709.07,16709.07,0.0,195.61308249,35,1.0
